timepoint,condition,conc,rep,cells,ln_cells
24,TP53R273H_MYC,1000,1,7932.917382,8.978776139
48,TP53R273H_MYC,1000,1,10822.45322,9.289378257
72,TP53R273H_MYC,1000,1,12796.46306,9.456924088
96,TP53R273H_MYC,1000,1,13295.85446,9.495207571
20,TP53R273H_MYC,1000,2,5555.162849,8.622483017
24,TP53R273H_MYC,1000,2,6401.608366,8.764304545
48,TP53R273H_MYC,1000,2,9663.741218,9.176136142
72,TP53R273H_MYC,1000,2,12060.56442,9.39769627
96,TP53R273H_MYC,1000,2,17354.78473,9.761623524
0,TP53R273H_MYC,1000,3,7191.215426,8.88061548
24,TP53R273H_MYC,1000,3,11447.53402,9.345529616
48,TP53R273H_MYC,1000,3,15403.72128,9.642364401
72,TP53R273H_MYC,1000,3,16496.53161,9.710905433
0,TP53R273H_MYC,1000,3,6981.168297,8.85097156
96,TP53R273H_MYC,1000,3,11713.60379,9.368506162
0,TP53R273H_MYC,1000,4,5644.347247,8.638409836
24,TP53R273H_MYC,1000,4,10564.22003,9.265228101
48,TP53R273H_MYC,1000,4,14364.62254,9.572523694
72,TP53R273H_MYC,1000,4,21088.67337,9.956491368
96,TP53R273H_MYC,1000,4,17556.63985,9.773187496
