"sample","ratio","condition","amino_acid","batch","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration"
"15",1.55,4.54,"Pro",1,0.05,30.9,140.4676,"TM",1000,24,1,132.6588,1.05886379192334,0.15,150,NA,NA,158.829568788501
"16",1.45,4.54,"Pro",1,0.05,28.9,131.3876,"T",0,16,1,132.6588,0.990417522245037,0.15,150,NA,NA,148.562628336756
"17",1.41,4.54,"Pro",1,0.05,28.2,128.1188,"T",100,16,1,132.6588,0.965776865160849,0.15,150,NA,NA,144.866529774127
"18",1.47,4.54,"Pro",1,0.05,29.3,133.2036,"T",1000,16,1,132.6588,1.0041067761807,0.15,150,NA,NA,150.616016427105
"19",1.45,4.54,"Pro",1,0.05,29,131.66,"T",0,18,1,132.6588,0.992470910335387,0.15,150,NA,NA,148.870636550308
"20",1.59,4.54,"Pro",1,0.05,31.8,144.2812,"T",100,18,1,132.6588,1.08761122518823,0.15,150,NA,NA,163.141683778234
"21",1.6,4.54,"Pro",1,0.05,31.9,144.9168,"T",1000,18,1,132.6588,1.09240246406571,0.15,150,NA,NA,163.860369609856
"22",1.66,4.54,"Pro",1,0.05,33.2,150.8188,"T",0,20,1,132.6588,1.1368925393566,0.15,150,NA,NA,170.533880903491
"23",1.48,4.54,"Pro",1,0.05,29.7,134.7472,"T",100,20,1,132.6588,1.01574264202601,0.15,150,NA,NA,152.361396303901
"24",1.59,4.54,"Pro",1,0.05,31.9,144.6444,"T",1000,20,1,132.6588,1.09034907597536,0.15,150,NA,NA,163.552361396304
"25",1.44,4.54,"Pro",1,0.05,28.8,130.8428,"T",0,22,1,132.6588,0.986310746064339,0.15,150,NA,NA,147.946611909651
"26",1.52,4.54,"Pro",1,0.05,30.5,138.2884,"T",100,22,1,132.6588,1.04243668720055,0.15,150,NA,NA,156.365503080082
"27",1.63,4.54,"Pro",1,0.05,32.6,147.8224,"T",1000,22,1,132.6588,1.11430527036276,0.15,150,NA,NA,167.145790554415
"28",1.72,4.54,"Pro",1,0.05,34.5,156.4484,"T",0,24,1,132.6588,1.17932922655715,0.15,150,NA,NA,176.899383983573
"29",1.65,4.54,"Pro",1,0.05,33,149.7292,"T",100,24,1,132.6588,1.12867898699521,0.15,150,NA,NA,169.301848049281
"30",1.64,4.54,"Pro",1,0.05,32.9,149.2752,"T",1000,24,1,132.6588,1.12525667351129,0.15,150,NA,NA,168.788501026694
"1",4.41,4.11,"Arg",1,0.05,88.2,362.4198,"TM",0,16,1,233.3658,1.5530116238112,0.69905216,699.05216,NA,NA,1085.63613013033
"2",3.43,4.11,"Arg",1,0.05,68.5,281.6994,"TM",100,16,1,233.3658,1.2071151814019,0.69905216,699.05216,NA,NA,843.836474927792
"3",3.86,4.11,"Arg",1,0.05,77.2,317.292,"TM",1000,16,1,233.3658,1.35963367382881,0.69905216,699.05216,NA,NA,950.454856498767
"4",3.68,4.11,"Arg",1,0.05,73.6,302.6604,"TM",0,18,1,233.3658,1.29693554068334,0.69905216,699.05216,NA,NA,906.625591095456
"5",2.52,4.11,"Arg",1,0.05,50.3,206.733,"TM",100,18,1,233.3658,0.885875308207115,0.69905216,699.05216,NA,NA,619.27304769285
"6",2.63,4.11,"Arg",1,0.05,52.7,216.4326,"TM",1000,18,1,233.3658,0.927439239168721,0.69905216,699.05216,NA,NA,648.328403409651
"7",1.68,4.11,"Arg",1,0.05,33.7,138.4248,"TM",0,20,1,233.3658,0.59316660796055,0.69905216,699.05216,NA,NA,414.654398534695
"8",3,4.11,"Arg",1,0.05,60,246.4356,"TM",100,20,1,233.3658,1.05600563578725,0.69905216,699.05216,NA,NA,738.20302066925
"9",2.64,4.11,"Arg",1,0.05,52.7,216.6792,"TM",1000,20,1,233.3658,0.928495949277915,0.69905216,699.05216,NA,NA,649.067098893977
"10",2.78,4.11,"Arg",1,0.05,55.6,228.5982,"TM",0,22,1,233.3658,0.979570271222261,0.69905216,699.05216,NA,NA,684.770713969708
"11",2.13,4.11,"Arg",1,0.05,42.5,174.7572,"TM",100,22,1,233.3658,0.748855230715041,0.69905216,699.05216,NA,NA,523.488866558647
"12",1.31,4.11,"Arg",1,0.05,26.2,107.5176,"TM",1000,22,1,233.3658,0.460725607608313,0.69905216,699.05216,NA,NA,322.071231165903
"13",1.67,4.11,"Arg",1,0.05,33.4,137.4384,"TM",0,24,1,233.3658,0.588939767523776,0.69905216,699.05216,NA,NA,411.699616597393
"14",4.22,4.11,"Arg",1,0.05,84.3,346.6374,"TM",100,24,1,233.3658,1.48538217682283,0.69905216,699.05216,NA,NA,1038.3596191335
