timepoint,EV_0_1,EV_100_1,EV_1000_1,TP53R175H_0_1,TP53R175H_100_1,TP53R175H_1000_1,EV_0_2,EV_100_2,EV_1000_2,TP53R175H_0_2,TP53R175H_100_2,TP53R175H_1000_2,EV_0_3,EV_100_3,EV_1000_3,TP53R175H_0_3,TP53R175H_100_3,TP53R175H_1000_3,MYC_0_1,MYC_100_1,MYC_1000_1,TM_0_1,TM_100_1,TM_1000_1,MYC_0_2,MYC_100_2,MYC_1000_2,TM_0_2,TM_100_2,TM_1000_2,MYC_0_3,MYC_100_3,MYC_1000_3,TM_0_3,TM_100_3,TM_1000_3
25,53.38507,46.98837,55.87479,51.03276,53.14227,53.58553,52.14797,55.90108,57.21332,54.1823,56.20075,56.04202,51.64898,58.14463,59.88236,55.36211,57.85465,57.01349,56.72366,63.0332,66.21896,53.06462,56.83741,59.25224,57.59886,63.30358,59.18478,54.15928,58.68098,58.2528,54.34391,59.78115,57.23449,42.69901,46.06708,47.15827
26,54.91539,49.34863,58.18462,53.05972,55.2517,55.80562,53.86938,58.08687,58.81886,56.57881,58.10822,58.00011,53.67414,59.91483,61.74797,57.51155,60.0066,59.5034,58.95543,64.85307,68.38183,54.86765,59.04082,61.39616,60.47179,65.99361,61.54019,56.42179,60.44934,60.08585,57.39169,62.11477,59.02405,44.70995,47.63104,49.057
27,56.97045,50.84701,59.74532,54.78788,56.99192,58.26902,55.75008,59.98562,61.23838,58.47557,60.01492,60.29493,55.31253,62.15105,64.0074,59.68618,62.77563,61.89026,61.29456,67.49314,70.82698,57.28414,60.3784,62.90257,62.61129,68.11153,63.65355,59.0636,62.89071,62.12726,59.48434,64.20562,61.54026,47.00392,49.7706,50.33488
28,58.36581,52.58866,61.46848,56.69824,58.93648,59.53969,56.90111,61.52954,62.17543,60.29531,62.64735,62.18031,56.9376,63.70346,65.84943,62.03146,64.83071,64.42577,62.80884,69.7272,73.01199,60.25981,61.98455,64.95331,63.35267,69.51267,65.53459,61.85263,65.00808,64.39751,60.49867,66.66434,62.9109,48.40137,50.49218,52.69783
29,60.17863,53.66682,63.11491,58.65426,60.97281,61.50442,58.45005,62.83197,64.01488,62.05107,64.56241,63.87122,58.61938,64.75043,67.66399,63.79,66.14062,66.06421,64.88479,72.1127,74.22752,62.1493,63.34666,66.86014,65.18746,72.00474,67.23386,64.47859,66.67654,66.28512,61.71543,68.60461,65.07984,50.84639,52.43942,54.62622
30,62.13306,56.43623,65.24689,60.56249,63.31429,63.71547,60.41162,64.77274,66.09403,64.12537,67.01556,66.145,60.93681,67.26283,69.63851,66.46515,68.27066,68.85059,67.11664,74.35917,76.99858,65.00671,65.08683,69.45016,68.03757,75.1858,69.27988,67.20773,69.01538,69.1284,64.34504,71.39418,67.04333,52.78009,54.48145,56.55677
31,63.93377,58.30814,66.50756,62.7089,65.05491,64.96222,62.52887,66.63745,68.49081,66.39519,69.12276,68.21378,62.67917,69.312,71.60345,69.11571,70.82352,71.4842,69.26642,76.95997,78.28393,67.69657,66.69202,71.84406,70.01761,77.20338,71.50613,70.23862,71.04115,70.88189,66.42547,72.7234,69.2465,55.89407,55.99813,58.52847
32,65.59869,60.1291,68.57191,64.49113,66.77136,66.97813,64.23988,68.40302,70.01728,68.34904,71.39188,70.24562,64.62189,70.22433,73.01339,71.26572,73.03972,72.74121,71.52065,78.91364,80.51263,70.4289,68.67243,72.70821,71.58205,78.80697,73.4442,72.87418,73.13066,72.30395,68.26725,75.03958,71.03444,58.50009,57.75164,60.98795
33,66.59055,62.18771,69.94993,66.35642,69.05048,68.81231,65.59892,70.70467,71.75646,70.76668,73.1982,71.83835,66.01955,72.17018,74.26516,73.20051,75.51939,74.44667,73.10566,80.18981,81.53294,72.53378,70.09333,74.73025,72.93971,80.80944,74.82091,75.81848,75.17883,74.25959,69.72783,76.56825,73.1673,60.2981,60.09338,62.9025
34,68.85645,63.64008,71.15462,68.08221,70.51875,70.34407,67.56271,72.22965,73.98118,72.94576,75.04871,73.53696,68.17005,73.69346,76.13391,74.60365,76.80012,76.08704,75.23778,82.14011,82.3336,75.07644,71.35871,76.68906,75.51759,82.49606,76.28475,78.43958,76.88273,76.24194,71.70026,78.24354,75.13815,61.75508,60.7532,64.33125
